"loc_adm_2	",,,,nps2015,nps2016
"18011	",,,,8.57143,9.375
"42065	",,,,9.5,10
"17083	",,,,8.6,7.95652
"29205	",,,,7.4,8.75
"55057	",,,,8.5,8.42857
"55033	",,,,8.11111,8.8
"18117	",,,,10,9.11111
"19155	",,,,8.77778,8.05128
"38101	",,,,8,8.75
"31015	",,,,7.75,8.33333
"06107	",,,,7,8
"55095	",,,,6.66667,7.6
27011,,,,8.19048,8.95652
"20001	",,,,8,8.57143
"55139	",,,,9.75,8.61538
"18041	",,,,7.5,8.33333
"20103	",,,,9,8
"21225	",,,,7.16667,8.88889
"31031	",,,,7.66667,7.33333
"19005	",,,,7.5,7.92857
"17031	",,,,5.2,6
"31045	",,,,10,8.33333
"46129	",,,,8.21429,7.22222
"19141	",,,,7.7037,8.18056
"21227	",,,,9.42857,9.2
"31003	",,,,8,6
"29141	",,,,7.16667,8.88889
"17051	",,,,9.28571,8.21053
"01019	",,,,9.2,10
"55127	",,,,8.71429,8.74074
"36077	",,,,9,9
"31185	",,,,8.92308,7.7619
"18101	",,,,9.25,9
"38083	",,,,4,6
"27003	",,,,7.625,9
"36121	",,,,8.25,8.25
"37091	",,,,8,9.8
"29137	",,,,7.88889,7.2
"29019	",,,,9,9
"27053	",,,,9.25,9
"46027	",,,,8.33333,9.57143
"01105	",,,,6,10
"38009	",,,,8.27273,8.71429
"19067	",,,,7.71429,9
"38103	",,,,8,8.44
"18175	",,,,9.33333,9.66667
"18053	",,,,8.75,7
"06077	",,,,7.5,9
"27161	",,,,7.82857,8.46429
"34041	",,,,10,5
"29159	",,,,8.5,8.42857
"18097	",,,,8,5
"51181	",,,,5,8.5
"39125	",,,,7,7.33333
"39129	",,,,6.6,8.2
"46011	",,,,9.18182,8.52273
"18171	",,,,7.5,8.4
"29031	",,,,7.85714,8.5625
38043,,,,7.8,8.09091
"48205	",,,,8.75,9
"27105	",,,,7.5,7.80392
"26159	",,,,9,7.52941
"21091	",,,,9,9.75
39149,,,,8.5,8.14286
"18023	",,,,8.2,6.5
"24047	",,,,9,8.5
"18007	",,,,7.46667,9.42857
"05037	8.33333	10",,,,,
"29075	10	8",,,,,
"39117	6	7.57143",,,,,
"42071	7.9	8",,,,,
"10003	8.66667	8.85714",,,,,
"26115	9	7.70588",,,,,
"19013	7.47059	8.51613",,,,,
"19163	8	8.55556",,,,,
"37083	8	8",,,,,
"19063	8.6	7.40625",,,,,
"27049	8.65217	8.56863",,,,,
"29047	8.85714	8",,,,,
"19145	8.61538	7.57143",,,,,
"17021	8.42857	8.19512",,,,,
"53025	7	9.14286",,,,,
"17041	9.16667	8.52632",,,,,
"42087	7.83333	8.71429",,,,,
"31127	8.71429	7.18182",,,,,
"20011	7.25	9.42857",,,,,
"55115	9.2	6.63636",,,,,
"19035	8.38095	8.10909",,,,,
"08085	10	8.2",,,,,
"18091	8.16667	8.44444",,,,,
"18107	8.875	8.31579",,,,,
"20203	7.5	9",,,,,
"28163	8.8	9",,,,,
"05035	8.5	9.5",,,,,
"27097	8.36842	8",,,,,
"46079	8.875	8.19355",,,,,
"19045	8.26316	8.33333",,,,,
"34015	8.66667	7.33333",,,,,
"19125	6.25	7.92857",,,,,
"40145	8.33333	10",,,,,
"20087	8.5	7",,,,,
"21211	9.2	7",,,,,
"22083	9	8.5",,,,,
"31047	7.58333	8.15385",,,,,
"28115	10	10",,,,,
"31083	7	9",,,,,
"51031	8	8",,,,,
"27041	8.38889	8.88889",,,,,
"31089	8.5	8",,,,,
"26087	8.125	9.27778",,,,,
"18021	7.81818	6.92308",,,,,
"38067	7	6.64286",,,,,
"27111	8.65854	8.42391",,,,,
"48231	8	6",,,,,
"18095	8	9.33333",,,,,
"38031	8	8.5",,,,,
"21215	6	6",,,,,
"20081	9.33333	9",,,,,
"42107	9.33333	9",,,,,
"13153	9	9",,,,,
"39047	9.33333	8.875",,,,,
"38019	9.66667	8.77778",,,,,
"20185	9	7.25",,,,,
"21105	9	9.66667",,,,,
"55121	7.44444	8",,,,,
"26147	9.5	7.75",,,,,
"26025	8.33333	7.64706",,,,,
"19051	8.66667	8.85714",,,,,
"17139	8.92857	8.95833",,,,,
"39103	7	9",,,,,
"29157	8.66667	8.33333",,,,,
"47177	7.8	9",,,,,
"17195	7.75	7.9",,,,,
"20149	8.75	3.5",,,,,
"37109	7	10",,,,,
"18157	7.09091	8.23529",,,,,
"05075	8.5	7.66667",,,,,
"36073	10	10",,,,,
"06019	8	10",,,,,
"31079	7.73333	6.85714",,,,,
"17101	8.09091	7.75",,,,,
"38093	7.66667	8.42308",,,,,
"26037	6.42857	8",,,,,
"27107	8.6	8.39286",,,,,
"17165	9.2	8.25",,,,,
"20067	9	7",,,,,
"31135	6.5	8.21429",,,,,
"20029	8.42857	6.5",,,,,
"19001	6.27778	8.55556",,,,,
"36037	8.5	9.33333",,,,,
"05001	8.85714	8.5",,,,,
"28005	7	7",,,,,
